Person,Relative,Relationship
<Eustathios 105>,<Maria 106>,father
<Eustathios 105>,<Gregorios 111>,father-in-law
<Anonyma 12129>,<Anonyma 12128>,daughter
<Maria 170>,<Andronikos 108>,daughter
<Anonymus 161>,<Amer 102>,son
<Anonymus 161>,<Anonyma 114>,son
<Zoe 103>,<Kale 102>,mother
<Zoe 104>,<Demetrios 121>,wife
<Konstantinos 214>,<Xenia 101>,father
<Konstantinos 214>,<Plyto 101>,father
<Konstantinos 214>,<Michael 234>,father
<Konstantinos 214>,<Eirene 148>,husband
<Konstantinos 214>,<Kyriakos 122>,father
<Eustathios 108>,<Lazaros 102>,son
<Anonymi 6008>,<Michael 5>,uncle
<Anonymi 6008>,<Michael 4>,brother
<Anonymi 6008>,<Ioannes 68>,brother
<Anonyma 12122>,<Anonymus 12180>,wife (second)
<Eustathios 109>,<Georgios 151>,father
<Bela 53>,<Geza 52>,son
<Bela 53>,<Stephanos 53>,brother (younger)
<Bela 53>,<Manuel 1>,son-in-law (proposed)
<Bela 53>,<Agnes 17002>,husband
<Theodora 5001>,<Maria 62>,daughter (youngest)
<Theodora 5001>,<Eirene 61>,sister
<Theodora 5001>,<Ioannes 2>,aunt
<Theodora 5001>,<Andronikos 61>,daughter (youngest)
<Melech 101>,<Ibrahim Yinal 101>,son
<Mabel 4001>,<Hugh 4008>,wife
<Mabel 4001>,<Hugh 4009>,mother
<Aikaterine 101>,<Maria 101>,mother
<Aikaterine 101>,<Samuel 103>,daughter (eldest)
<Aikaterine 101>,<Aaron 101>,sister
<Aikaterine 101>,<Isaakios 1>,wife
<Aikaterine 101>,<Vladislav 101>,daughter
<Zoulana 101>,<Kosmas 103>,wife
<Eudokia 110>,<Anonyma 209>,mother
<Eudokia 110>,<Nikephoros 168>,sister
<Theodoros 1>,<Anna 20112>,husband
<Theoktistos 107>,<Athanasios 105>,spiritual son
<Theoktistos 107>,<Nikephoros 167>,spiritual brother
<Theoktistos 107>,<Theodoros 222>,spiritual son
<Anonymus 1012>,<Zengi 4001>,son
<Leon 167>,<Nikephoros 148>,son-in-law
<Gumushtegin 101>,<Sulayman 5000>,nephew
<Anonymus 12225>,<Anonyma 12138>,husband (second)
<Anonymus 12225>,<Anonyma 12139>,step-father
<Maria 62>,<Anna 63>,mother
<Maria 62>,<Anna 62>,grandmother
<Maria 62>,<Eirene 61>,mother
<Maria 62>,<Andronikos 61>,wife
<Maria 62>,<Ioannes 62>,daughter-in-law
<Maria 62>,<Ioannes 2>,grandmother
<Maria 62>,<Anna 61>,relative by marriage
<Maria 62>,<Ioannes 65>,mother
<Maria 62>,<Anonyma 5005>,daughter
<Maria 62>,<Georgios 61>,mother-in-law
<Maria 62>,<Traianos 101>,daughter
<Maria 62>,<Michael 121>,mother
<Maria 62>,<Theodora 5001>,mother
<Eudokia 20108>,<Ioannes 20463>,mother
<Eudokia 20108>,<Andronikos 17010>,mother
<Eudokia 20108>,<Ioannes 2>,daughter
<Louis 103>,<Louis 101>,father
<Stephanos 121>,<Mera 101>,husband
<Stephanos 121>,<Ioannes 207>,father
<Stephanos 121>,<Demetrios 121>,brother
<Maria 64>,<Anonymus 181>,daughter
<Maria 64>,<Anonyma 2108>,daughter
<Maria 64>,<Konstantinos 9>,lover
<Maria 64>,<Romanos 104>,sister
<Maria 64>,<Anonyma 6006>,niece
<Maria 101>,<Aikaterine 101>,daughter
<Maria 101>,<Isaakios 1>,daughter
<Anonymus 777>,<Ioannes 459>,kin
<Anonymus 777>,<Anonymus 778>,son
<Anonyma 213>,<Traulos 101>,wife
<Asan 101>,<Anonymus 5044>,son
<Asan 101>,<Tughrul Beg 51>,nephew
<Andronikos 62>,<Konstantinos 10>,son
<Andronikos 62>,<Andronikos 61>,cousin
<Andronikos 62>,<Michael 7>,brother
<Andronikos 62>,<Konstantios 61>,brother
<Andronikos 62>,<Eudokia 1>,son
<Andronikos 62>,<Ioannes 62>,nephew
<Andronikos 62>,<Romanos 4>,step-son
<Frederick 51>,<Conrad 53>,nephew
<Frederick 51>,<Anonymus 17024>,son
<Anonyma 15014>,<Traulos 101>,wife (second)
<Anonyma 15014>,<Anonymus 695>,daughter
<Roger 101>,<Roger 17001>,son
<Traianos 101>,<Maria 62>,father
<Traianos 101>,<Eirene 61>,grandfather
<Traianos 101>,<Samuel 103>,son
<Katae 17001>,<Alexios 103>,wife
<Anonyma 26113>,<Joscelin 4001>,mother
<Anonyma 26113>,<Baldwin 52>,paternal aunt
<Michael 121>,<Anna 63>,brother
<Michael 121>,<Maria 62>,son
<Michael 121>,<Ioannes 312>,brother-in-law
<Michael 121>,<Eirene 61>,brother
<Michael 121>,<Ioannes 65>,brother
<Michael 121>,<Eirene 20117>,grandson
<Michael 121>,<Konstantinos 130>,father
<Michael 121>,<Ioannes 62>,grandson
<Michael 121>,<Ioannes 2>,uncle
<Michael 121>,<Anna 62>,uncle (maternal)
<Michael 121>,<Andronikos 61>,son
<Helena 108>,<Ioannilos 102>,daughter
<Samuel 106>,<Anna 125>,husband
<Samuel 106>,<Georgios 165>,son-in-law
<Stephanos 157>,<Sabas 109>,father
<Stephanos 157>,<Alexios 3>,father of son-in-law
<Helena 110>,<Ioannes 218>,mother-in-law
<Anonymi 26103>,<Anonyma 4006>,sons
<Helena 115>,<Theodote 103>,cousin
<Helena 115>,<Nikolaos 183>,daughter
<Helena 115>,<Basileios 186>,mother
<Marianos 15001>,<Nikolaos 15002>,son
<Marianos 15001>,<Nikephoros 117>,brother-in-law
<Marianos 15001>,<Anonyma 241>,husband
<Nikephoros 8106>,<Nikephoros 3>,kin
<Anonymae 102>,<Ioannes 68>,kin
<Anonymae 103>,<Nikoulitzas 101>,daughter
<Alexios 1>,<Manuel 106>,father
<Alexios 1>,<Ioannes 63>,son
<Alexios 1>,<Isaakios 1>,nephew
<Alexios 1>,<Eudokia 111>,father
<Alexios 1>,<Anna 61>,son
<Alexios 1>,<Manuel 61>,brother
<Alexios 1>,<Theodora 106>,brother
<Alexios 1>,<Ioannes 65>,brother-in-law
<Alexios 1>,<Alexios 17005>,grandfather
<Alexios 1>,<Maria 105>,brother
<Alexios 1>,<Theodora 107>,father
